@relation Frampt

@attribute mergeObsZZ_9_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute intermediateReward numeric
@attribute nearestCoin numeric
@attribute nearestCreature numeric
@attribute distancePassedCells numeric
@attribute saltoSeguido numeric
@attribute marioOnGround {true,false}
@attribute marioMode numeric
@attribute reward24 numeric
@attribute coin24 numeric
@attribute creature24 numeric
@attribute distance24 numeric
@attribute salto24 numeric
@attribute ground24 {true,false}
@attribute mode24 numeric
@attribute merge24ObsZZ_9_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute evaluacion numeric
@attribute DOWN {true,false}
@attribute JUMP {true,false}
@attribute LEFT {true,false}
@attribute RIGHT {true,false}
@attribute SPEED {true,false}
@attribute UP {true,false}

@data
-60,243,4,11,38,5,false,2,253,4,11,42,4,false,2,-60,270,false,true,false,true,false,false
-60,243,5,11,38,6,true,2,253,4,11,43,5,false,2,-60,300,false,true,false,true,false,false
-60,243,5,11,38,7,true,2,253,5,11,43,6,true,2,-60,300,false,true,false,true,false,false
-60,243,5,11,38,8,true,2,253,5,11,43,7,true,2,-60,300,false,false,false,true,false,false
-60,243,5,11,38,0,true,2,253,5,11,43,8,true,2,-60,300,false,true,false,true,false,false
-60,243,5,11,38,1,true,2,253,5,11,43,0,true,2,-60,300,false,true,false,true,false,false
-60,243,5,11,38,2,true,2,253,5,11,43,1,true,2,-60,300,false,true,false,true,false,false
-60,243,5,11,38,3,true,2,253,5,11,43,2,true,2,-60,300,false,true,false,true,false,false
-60,243,5,11,39,4,true,2,253,5,11,43,3,true,2,-60,270,false,true,false,true,false,false
-60,243,5,11,39,5,true,2,253,5,11,43,4,true,2,-60,270,false,false,false,true,false,false
-60,243,5,11,39,0,true,2,253,5,11,43,5,true,2,-60,270,false,true,false,true,false,false
-60,253,5,11,39,1,true,2,253,5,11,43,0,true,2,-60,120,false,true,false,true,false,false
-60,253,5,11,39,2,true,2,253,5,11,43,1,true,2,-60,120,false,true,false,true,false,false
-60,253,5,11,39,3,true,2,253,5,11,43,2,true,2,-60,120,false,true,false,true,false,false
-60,253,4,11,40,4,false,2,253,5,11,43,3,true,2,-60,90,false,true,false,true,false,false
-24,253,3,11,40,5,false,2,253,4,11,43,4,false,2,-24,90,false,true,false,true,false,false
0,253,2,11,40,6,false,2,253,3,11,43,5,false,2,0,90,false,true,false,true,false,false
0,253,2,11,40,7,false,2,253,2,11,43,6,false,2,0,90,false,true,false,true,false,false
0,253,2,11,41,8,false,2,253,2,11,43,7,false,2,0,60,false,false,false,true,false,false
2,253,1,11,41,0,false,2,253,2,11,43,8,false,2,2,60,false,true,false,true,false,false
2,253,1,11,41,1,false,2,253,1,11,44,0,false,2,2,90,false,true,false,true,false,false
2,253,1,11,42,2,false,2,253,1,11,44,1,false,2,2,60,false,true,false,true,false,false
2,253,1,11,42,3,true,2,253,1,11,44,2,false,2,2,60,false,true,false,true,false,false
2,253,1,11,42,4,true,2,253,1,11,44,3,true,2,2,60,false,true,false,true,false,false
0,253,2,11,43,5,true,2,253,1,11,44,4,true,2,0,30,false,true,false,true,false,false
2,253,1,11,43,6,false,2,285,2,11,44,5,true,2,2,510,false,true,false,true,false,false
-24,253,2,11,43,7,true,2,285,1,11,45,6,false,2,-24,540,false,true,false,true,false,false
-24,253,2,11,43,8,true,2,285,2,11,45,7,true,2,-24,540,false,false,false,true,false,false
-24,253,3,11,43,0,true,2,285,2,11,45,8,true,2,-24,540,false,true,false,true,false,false
-24,253,3,11,43,1,true,2,301,3,11,45,0,true,2,-24,780,false,true,false,true,false,false
-24,253,3,11,43,2,true,2,301,3,11,45,1,true,2,-24,780,false,true,false,true,false,false
-24,253,3,11,43,3,true,2,301,3,11,45,2,true,2,-24,780,false,true,false,true,false,false
0,253,2,11,43,4,false,2,301,3,11,45,3,true,2,0,780,false,true,false,true,false,false
0,253,2,11,43,5,false,2,317,2,11,45,4,false,2,0,1020,false,true,false,true,false,false
0,253,3,11,43,6,false,2,317,2,11,45,5,false,2,0,1020,false,true,false,true,false,false
0,253,3,11,43,7,false,2,317,3,11,45,6,false,2,0,1020,false,true,false,true,false,false
0,253,2,11,43,8,false,2,317,3,11,45,7,false,2,0,1020,false,false,false,true,false,false
-24,253,3,11,43,0,false,2,317,2,11,46,8,false,2,-24,1050,false,true,false,true,false,false
-24,253,3,11,43,1,false,2,317,3,11,46,0,false,2,-24,1050,false,true,false,true,false,false
-24,253,3,11,43,2,false,2,317,3,11,46,1,false,2,-24,1050,false,true,false,true,false,false
0,253,2,11,43,3,false,2,317,3,11,46,2,false,2,0,1050,false,true,false,true,false,false
0,253,2,11,43,4,false,2,317,2,11,46,3,false,2,0,1050,false,true,false,true,false,false
2,253,1,10,43,5,false,2,317,2,11,46,4,false,2,2,1050,false,true,false,true,false,false
0,253,2,10,44,6,false,2,317,1,10,46,5,false,2,0,1020,false,true,false,true,false,false
2,253,1,9,44,7,true,2,333,2,10,46,6,false,2,2,1260,false,true,false,true,false,false
0,253,2,9,44,8,true,2,333,1,9,46,7,true,2,0,1260,false,false,false,true,false,false
0,253,2,9,44,0,true,2,349,2,9,46,8,true,2,0,1500,false,true,false,true,false,false
2,253,1,8,44,1,true,2,349,2,9,46,0,true,2,2,1500,false,true,false,true,false,false
2,285,1,9,44,2,false,2,349,1,8,47,1,true,2,2,1050,false,true,false,true,false,false
2,285,1,9,45,3,false,2,349,1,9,47,2,false,2,2,1020,false,true,false,true,false,false
2,285,1,8,45,4,true,2,349,1,9,47,3,false,2,2,1020,false,true,false,true,false,false
2,285,1,8,45,5,true,2,349,1,8,47,4,true,2,2,1020,false,true,false,true,false,false
0,301,11,8,45,6,true,2,349,1,8,47,5,true,2,0,780,false,true,false,true,false,false
0,301,7,7,45,7,true,2,381,11,8,47,6,true,2,0,1260,false,true,false,true,false,false
0,301,7,7,45,8,true,2,381,7,7,48,7,true,2,0,1290,false,false,false,true,false,false
0,301,8,8,45,0,false,2,381,7,7,48,8,true,2,0,1290,false,true,false,true,false,false
0,317,8,8,45,1,false,2,397,8,8,48,0,false,2,0,1290,false,true,false,true,false,false
0,317,6,6,45,2,true,2,397,8,8,48,1,false,2,0,1290,false,true,false,true,false,false
0,317,6,6,45,3,true,2,397,6,6,49,2,true,2,0,1320,false,true,false,true,false,false
0,317,6,6,45,4,true,2,397,6,6,49,3,true,2,0,1320,false,true,false,true,false,false
0,317,5,5,46,5,false,2,397,6,6,49,4,true,2,0,1290,false,true,false,true,false,false
0,317,4,4,46,6,true,2,397,5,5,50,5,false,2,0,1320,false,true,false,true,false,false
0,317,4,4,46,7,true,2,397,4,4,50,6,true,2,0,1320,false,true,false,true,false,false
0,317,3,3,46,8,true,2,397,4,4,50,7,true,2,0,1320,false,false,false,true,false,false
0,317,3,3,46,0,true,2,397,3,3,51,8,true,2,0,1350,false,true,false,true,false,false
0,317,3,3,46,1,true,2,397,3,3,51,0,true,2,0,1350,false,true,false,true,false,false
0,317,3,3,46,2,true,2,397,3,3,51,1,true,2,0,1350,false,true,false,true,false,false
0,333,3,7,46,3,false,2,397,3,3,51,2,true,2,0,1110,false,true,false,true,false,false
0,333,4,8,46,4,false,2,397,3,7,52,3,false,2,0,1140,false,true,false,true,false,false
0,349,5,11,46,5,false,2,397,4,8,52,4,false,2,0,900,false,true,false,true,false,false
0,349,4,11,46,6,false,2,397,5,11,52,5,false,2,0,900,false,false,false,true,false,false
0,349,4,11,47,0,false,2,397,4,11,53,6,false,2,0,900,false,true,false,true,false,false
0,349,5,11,47,1,false,2,397,4,11,53,0,false,2,0,900,false,true,false,true,false,false
0,349,5,11,47,2,false,2,397,5,11,53,1,false,2,0,900,false,true,false,true,false,false
0,349,5,11,47,3,false,2,397,5,11,54,2,false,2,0,930,false,true,false,true,false,false
0,349,4,11,47,4,false,2,397,5,11,54,3,false,2,0,930,false,true,false,true,false,false
0,381,4,11,47,5,false,2,397,4,11,54,4,false,2,0,450,false,true,false,true,false,false
0,381,3,6,48,6,false,2,397,4,11,55,5,false,2,0,450,false,false,false,true,false,false
0,381,3,6,48,0,false,2,397,3,6,55,6,false,2,0,450,false,true,false,true,false,false
0,397,6,4,48,1,true,2,397,3,6,55,0,false,2,0,210,false,true,false,true,false,false
0,397,6,3,48,2,true,2,397,6,4,56,1,true,2,0,240,false,true,false,true,false,false
0,397,7,2,49,3,false,2,413,6,3,56,2,true,2,0,450,false,true,false,true,false,false
-60,397,7,11,49,4,true,2,429,7,2,56,3,false,2,-60,690,false,true,false,true,false,false
-60,397,7,11,49,5,true,2,429,7,11,57,4,true,2,-60,720,false,true,false,true,false,false
0,397,7,11,50,6,false,2,439,7,11,57,5,true,2,0,840,false,true,false,true,false,false
0,397,4,11,50,7,false,2,439,7,11,57,6,false,2,0,840,false,false,false,true,false,false
0,397,4,11,50,0,false,2,439,4,11,57,7,false,2,0,840,false,true,false,true,false,false
0,397,4,11,51,1,false,2,439,4,11,57,0,false,2,0,810,false,true,false,true,false,false
0,397,4,11,51,2,false,2,439,4,11,57,1,false,2,0,810,false,true,false,true,false,false
-24,397,4,11,51,3,false,2,439,4,11,58,2,false,2,-24,840,false,false,false,true,false,false
-24,397,4,11,51,0,false,2,439,4,11,58,3,false,2,-24,840,false,true,false,true,false,false
-24,397,4,11,52,1,false,2,439,4,11,58,0,false,2,-24,810,false,true,false,true,false,false
0,397,4,11,52,2,false,2,439,4,11,58,1,false,2,0,810,false,true,false,true,false,false
0,397,4,11,52,3,false,2,439,4,11,58,2,false,2,0,810,false,true,false,true,false,false
0,397,4,11,53,4,false,2,439,4,11,58,3,false,2,0,780,false,true,false,true,false,false
0,397,6,11,53,5,true,2,439,4,11,58,4,false,2,0,780,false,true,false,true,false,false
0,397,6,11,53,6,true,2,439,6,11,58,5,true,2,0,780,false,true,false,true,false,false
0,397,6,11,54,7,true,2,439,6,11,58,6,true,2,0,750,false,true,false,true,false,false
0,397,6,11,54,8,true,2,439,6,11,58,7,true,2,0,750,false,false,false,true,false,false
0,397,4,6,54,0,true,2,439,6,11,58,8,true,2,0,750,false,true,false,true,false,false
0,397,3,7,55,1,false,2,439,4,6,59,0,true,2,0,750,false,true,false,true,false,false
0,397,3,7,55,2,false,2,439,3,7,59,1,false,2,0,750,false,true,false,true,false,false
0,397,4,6,55,3,true,2,439,3,7,59,2,false,2,0,750,false,true,false,true,false,false
0,397,4,6,56,4,true,2,439,4,6,59,3,true,2,0,720,false,true,false,true,false,false
0,413,4,6,56,5,true,2,439,4,6,59,4,true,2,0,480,false,false,false,true,false,false
0,429,3,4,56,0,true,2,439,4,6,59,5,true,2,0,240,false,true,false,true,false,false
0,429,3,4,57,1,true,2,439,3,4,60,0,true,2,0,240,false,true,false,true,false,false
0,439,3,6,57,2,true,2,439,3,4,60,1,true,2,0,90,false,true,false,true,false,false
0,439,2,7,57,3,false,2,439,3,6,60,2,true,2,0,90,false,true,false,true,false,false
2,439,1,6,57,4,false,2,439,2,7,60,3,false,2,2,90,false,true,false,true,false,false
0,439,2,4,57,5,true,2,439,1,6,61,4,false,2,0,120,false,true,false,true,false,false
0,439,3,4,57,6,true,2,439,2,4,61,5,true,2,0,120,false,true,false,true,false,false
-24,439,2,5,58,7,true,2,471,3,4,61,6,true,2,-24,570,false,true,false,true,false,false
-24,439,2,5,58,8,true,2,471,2,5,62,7,true,2,-24,600,false,false,false,true,false,false
-24,439,2,5,58,0,true,2,471,2,5,62,8,true,2,-24,600,false,true,false,true,false,false
-24,439,3,5,58,1,true,2,471,2,5,62,0,true,2,-24,600,false,true,false,true,false,false
-24,439,3,5,58,2,true,2,487,3,5,62,1,true,2,-24,840,false,true,false,true,false,false
-24,439,3,5,58,3,true,2,487,3,5,62,2,true,2,-24,840,false,true,false,true,false,false
0,439,2,5,58,4,false,2,487,3,5,62,3,true,2,0,840,false,true,false,true,false,false
0,439,5,5,58,5,false,2,503,2,5,62,4,false,2,0,1080,false,true,false,true,false,false
0,439,5,5,58,6,false,2,519,5,5,62,5,false,2,0,1320,false,true,false,true,false,false
0,439,11,3,58,7,true,2,519,5,5,62,6,false,2,0,1320,false,true,false,true,false,false
0,439,11,3,58,8,true,2,519,11,3,63,7,true,2,0,1350,false,false,false,true,false,false
0,439,11,3,59,0,true,2,519,11,3,63,8,true,2,0,1320,false,true,false,true,false,false
0,439,11,3,59,1,true,2,535,11,3,63,0,true,2,0,1560,false,true,false,true,false,false
0,439,11,3,59,2,true,2,535,11,3,63,1,true,2,0,1560,false,true,false,true,false,false
0,439,11,3,59,3,true,2,535,11,3,63,2,true,2,0,1560,false,true,false,true,false,false
0,439,11,2,59,4,true,2,535,11,3,63,3,true,2,0,1560,false,true,false,true,false,false
0,439,11,2,59,5,true,2,551,11,2,64,4,true,2,0,1830,false,true,false,true,false,false
0,439,11,2,60,6,true,2,551,11,2,64,5,true,2,0,1800,false,true,false,true,false,false
0,439,11,2,60,7,true,2,551,11,2,64,6,true,2,0,1800,false,false,false,true,false,false
0,439,11,11,60,0,true,2,551,11,2,64,7,true,2,0,1800,false,true,false,true,false,false
0,439,11,11,60,1,true,2,551,11,11,65,0,true,2,0,1830,false,true,false,true,false,false
0,439,11,11,61,2,true,2,551,11,11,65,1,true,2,0,1800,false,true,false,true,false,false
-60,439,11,11,61,3,false,2,561,11,11,65,2,true,2,-60,1950,false,true,false,true,false,false
